
# Transformation - name of the transformation.
# Count          - the number of times the invocations corresponding to
#                  the transformation was executed.
# Succeeded      - the count of the succeeded invocations corresponding
#                  to the transformation.
# Failed         - the count of the failed invocations corresponding to
#                  the transformation.
# Min(sec)       - the minimum invocation runtime value corresponding
#                  to the transformation.
# Max(sec)       - the maximum invocation runtime value corresponding
#                  to the transformation.
# Mean(sec)      - the mean of the invocation runtime corresponding
#                  to the transformation.
# Total(sec)     - the cumulative of invocation runtime corresponding
#                  to the transformation.

# e86cc238-7265-4253-8249-7041c28cdeaa (gw150914-16day-c01-v1_3_2)
Transformation           Count     Succeeded Failed  Min       Max       Mean      Total     
plot_trigger_timeseries-SNR10_2-H1L1_ID24    1         1         0       25051.172 25051.172 25051.172        25051.172 
plot_trigger_timeseries-SNR10_3-H1L1_ID35    1         1         0       1393.007  1393.007  1393.007         1393.007  
plot_trigger_timeseries-SNR10_4-H1L1_ID46    1         1         0       884.086   884.086   884.086          884.086   
plot_trigger_timeseries-SNR1_0-H1L1_ID1      1         1         0       1356.452  1356.452  1356.452         1356.452  
plot_trigger_timeseries-SNR1_1-H1L1_ID12     1         1         0       1272.808  1272.808  1272.808         1272.808  
plot_trigger_timeseries-SNR1_2-H1L1_ID23     1         1         0       1256.899  1256.899  1256.899         1256.899  
plot_trigger_timeseries-SNR1_3-H1L1_ID34     1         1         0       1305.447  1305.447  1305.447         1305.447  
plot_trigger_timeseries-SNR1_4-H1L1_ID45     1         1         0       901.565   901.565   901.565          901.565   
single_template-P1_0-H1_ID5                  65        1         64      4.457     257.723   10.557           686.183   
single_template-P1_0-L1_ID7                  65        1         64      4.351     612.374   16.154           1050.03   
single_template-P1_1-H1_ID16                 65        1         64      4.467     629.406   16.487           1071.632  
single_template-P1_1-L1_ID18                 65        1         64      4.248     310.274   10.996           714.761   
single_template-P1_2-H1_ID27                 65        1         64      4.374     714.779   17.634           1146.191  
single_template-P1_2-L1_ID29                 65        1         64      4.483     696.441   17.099           1111.462  
